"persid","cluster_id","household_id","participant_id","age_band","sex","year","trip_id","trip_purpose","participant_wt","trips_wt","trip_mode_base","trip_duration_base","trip_distance_base","day_type","trip_id_2","age_group","dist_cat","trip_mode_scen","trip_distance_scen","trip_duration_scen","trip_duration_base_hrs","trip_duration_scen_hrs"
"90407/1001",NA,90407,4241,"60-64 years","female",21,14883,"Leisure",126.074600219727,126.074600219727,"car",0.216666666666667,6.9,"weekday",7,"40 to 64","6-10km","car",6.9,0.216666666666667,1.51666666666667,1.51666666666667
"90407/1001",NA,90407,4241,"60-64 years","female",21,14884,"Leisure",126.074600219727,126.074600219727,"car",0.5,16.9,"weekday",8,"40 to 64",">10km","car",16.9,0.5,3.5,3.5
"90407/1002",NA,90407,4242,"35-39 years","female",21,14885,"Other",101.994979858398,101.994979858398,"car",0.166666666666667,2.21,"weekday",1,"20 to 39","3-5km","car",2.21,0.166666666666667,1.16666666666667,1.16666666666667
"90407/1002",NA,90407,4242,"35-39 years","female",21,14886,"Work",101.994979858398,101.994979858398,"car",0.266666666666667,7.05,"weekday",2,"20 to 39","6-10km","car",7.05,0.266666666666667,1.86666666666667,1.86666666666667
"90407/1002",NA,90407,4242,"35-39 years","female",21,14887,"Other",101.994979858398,101.994979858398,"car",0.333333333333333,7.04,"weekday",3,"20 to 39","6-10km","car",7.04,0.333333333333333,2.33333333333333,2.33333333333333
"90407/1002",NA,90407,4242,"35-39 years","female",21,14888,"Other",101.994979858398,101.994979858398,"car",0.166666666666667,2.21,"weekday",4,"20 to 39","3-5km","car",2.21,0.166666666666667,1.16666666666667,1.16666666666667
"90409/1000",NA,90409,4243,"65-69 years","male",21,14889,"Leisure",91.5599975585938,91.5599975585938,"car",0.5,20.24,"weekday",1,"65 plus",">10km","car",20.24,0.5,3.5,3.5
"90409/1000",NA,90409,4243,"65-69 years","male",21,14890,"Leisure",91.5599975585938,91.5599975585938,"car",0.583333333333333,20.12,"weekday",2,"65 plus",">10km","car",20.12,0.583333333333333,4.08333333333333,4.08333333333333
"90409/1001",NA,90409,4244,"65-69 years","female",21,14891,"Leisure",86.0002593994141,86.0002593994141,"car",0.5,20.24,"weekday",1,"65 plus",">10km","car",20.24,0.5,3.5,3.5
"90409/1001",NA,90409,4244,"65-69 years","female",21,14892,"Leisure",86.0002593994141,86.0002593994141,"car",0.583333333333333,20.12,"weekday",2,"65 plus",">10km","car",20.12,0.583333333333333,4.08333333333333,4.08333333333333
"90411/1000",NA,90411,4245,"40-44 years","male",21,14893,"Work",121.04647064209,121.04647064209,"car",0.5,17.4,"weekday",1,"40 to 64",">10km","car",17.4,0.5,3.5,3.5
"90411/1000",NA,90411,4245,"40-44 years","male",21,14894,"Other",121.04647064209,121.04647064209,"car",0.416666666666667,16.14,"weekday",2,"40 to 64",">10km","car",16.14,0.416666666666667,2.91666666666667,2.91666666666667
"90411/1000",NA,90411,4245,"40-44 years","male",21,14895,"Other",121.04647064209,121.04647064209,"car",0.333333333333333,2.88,"weekday",3,"40 to 64","3-5km","car",2.88,0.333333333333333,2.33333333333333,2.33333333333333
"90411/1001",NA,90411,4246,"40-44 years","female",21,14896,"Work",113.294410705566,113.294410705566,"car",0.75,28.61,"weekday",1,"40 to 64",">10km","car",28.61,0.75,5.25,5.25
"90411/1001",NA,90411,4246,"40-44 years","female",21,14897,"Work",113.294410705566,113.294410705566,"car",0.666666666666667,28.6,"weekday",2,"40 to 64",">10km","car",28.6,0.666666666666667,4.66666666666667,4.66666666666667
"90411/1001",NA,90411,4246,"40-44 years","female",21,14898,"Other",113.294410705566,113.294410705566,"car",0.166666666666667,2.03,"weekday",3,"40 to 64","3-5km","car",2.03,0.166666666666667,1.16666666666667,1.16666666666667
"90411/1001",NA,90411,4246,"40-44 years","female",21,14899,"Other",113.294410705566,113.294410705566,"car",0.166666666666667,2.29,"weekday",4,"40 to 64","3-5km","car",2.29,0.166666666666667,1.16666666666667,1.16666666666667
"90411/1002",NA,90411,4247,"15-19 years","male",21,14900,"Education",162.666137695312,162.666137695312,"walking",0.166666666666667,1.62,"weekday",1,"15 to 19","1-2km","walking",1.62,0.166666666666667,1.16666666666667,1.16666666666667
"90411/1002",NA,90411,4247,"15-19 years","male",21,14901,"Education",162.666137695312,162.666137695312,"walking",0.333333333333333,1.62,"weekday",2,"15 to 19","1-2km","walking",1.62,0.333333333333333,2.33333333333333,2.33333333333333
"90411/1003",NA,90411,4248,"15-19 years","female",21,14902,"Education",100.53645324707,100.53645324707,"walking",0.166666666666667,1.62,"weekday",1,"15 to 19","1-2km","walking",1.62,0.166666666666667,1.16666666666667,1.16666666666667
"90411/1003",NA,90411,4248,"15-19 years","female",21,14903,"Education",100.53645324707,100.53645324707,"walking",0.333333333333333,1.62,"weekday",2,"15 to 19","1-2km","walking",1.62,0.333333333333333,2.33333333333333,2.33333333333333
"90411/1003",NA,90411,4248,"15-19 years","female",21,14904,"Other",100.53645324707,100.53645324707,"car",0.166666666666667,2.03,"weekday",3,"15 to 19","3-5km","car",2.03,0.166666666666667,1.16666666666667,1.16666666666667
"90411/1003",NA,90411,4248,"15-19 years","female",21,14905,"Other",100.53645324707,100.53645324707,"car",0.166666666666667,2.29,"weekday",4,"15 to 19","3-5km","car",2.29,0.166666666666667,1.16666666666667,1.16666666666667
